player,g_x,rush_yds_col,rush_td_col,rec_yds_col,scrim_yds,scrim_yds_per_att,scrim_td,pick
Ezekiel Elliott,0.8666666666666667,0.6985431453119163,0.6216216216216217,0.18744313011828936,0.7263820853743876,0.702970297029703,0.6216216216216217,0.0
Derrick Henry,1.0,0.8472170339932761,0.7567567567567568,0.08280254777070065,0.8254023792862141,0.6336633663366337,0.7567567567567568,0.037037037037037035
Kenyan Drake,0.7333333333333333,0.27754949570414644,0.21621621621621623,0.12283894449499545,0.3072078376487054,0.8613861386138614,0.24324324324324326,0.07407407407407407
C.J. Prosise,0.6666666666666666,0.40268957788569293,0.2972972972972973,0.2802547770700637,0.4849545136459062,0.792079207920792,0.32432432432432434,0.1111111111111111
Tyler Ervin,0.8666666666666667,0.616361598804632,0.35135135135135137,0.3039126478616925,0.6941917424772568,0.6336633663366337,0.40540540540540543,0.14814814814814814
Kenneth Dixon,0.7333333333333333,0.41912588718714977,0.5135135135135136,0.42220200181983625,0.5549335199440167,0.7326732673267327,0.7027027027027027,0.18518518518518517
Devontae Booker,0.6666666666666666,0.48935375420246546,0.2972972972972973,0.2875341219290264,0.5689293212036389,0.5841584158415841,0.2972972972972973,0.2222222222222222
Paul Perkins,0.8666666666666667,0.5199850579006351,0.3783783783783784,0.22020018198362148,0.5717284814555633,0.6534653465346535,0.40540540540540543,0.25925925925925924
Jordan Howard,0.6,0.4714232349645125,0.24324324324324326,0.09645131938125569,0.47865640307907625,0.702970297029703,0.2702702702702703,0.2962962962962963
Wendell Smallwood,0.8666666666666667,0.5857302951064625,0.24324324324324326,0.14558689717925388,0.6046186144156752,0.702970297029703,0.24324324324324326,0.3333333333333333
Jonathan Williams,0.8666666666666667,0.4628315278296601,0.32432432432432434,0.059144676979071886,0.4562631210636809,0.6336633663366337,0.3783783783783784,0.37037037037037035
Alex Collins,0.8666666666666667,0.6073963391856556,0.5405405405405406,0.08644222020018198,0.6021693491952415,0.6534653465346535,0.5405405405405406,0.4074074074074074
Dwayne Washington,0.8,0.2786701531565185,0.24324324324324326,0.08280254777070065,0.2928621413575927,0.6039603960396039,0.24324324324324326,0.4444444444444444
Daniel Lasco,0.8,0.43481509152035863,0.32432432432432434,0.3239308462238399,0.5318404478656403,0.6732673267326732,0.3783783783783784,0.48148148148148145
